protocol,attack_probability,attacker_ids,scenario,generated_packets,packet_delivery_ratio_percent,average_end_to_end_delay_ms,routing_load,average_throughput_kbps,average_hop_count,collision_count,average_mac_delay_ms,security_metrics,pdr_delta_vs_baseline,delay_delta_vs_baseline_ms,throughput_delta_vs_baseline_kbps
QROUTING,0.5,"1,3",baseline,103,36.89320388349515,385.14513157894737,1.0526315789473684,97.98387401045684,3.1842105263157894,0,67.79445297029703,none,0.0,0.0,0.0
QROUTING,0.5,"1,3",ack_poison,103,27.184466019417474,401.6420714285714,1.4285714285714286,155.94926540781674,3.5714285714285716,2,74.95432273838631,"ack_poison_count=61, ack_poison_qrouting_count=61",-9.708737864077673,16.496939849624027,57.965391397359895
QROUTING,0.5,"1,3",grayhole,103,46.601941747572816,160.2433125,0.8333333333333334,305.8422782981573,3.1041666666666665,0,47.09138522427441,grayhole_drop_count=32,9.70873786407767,-224.90181907894737,207.85840428770044
QROUTING,0.5,"1,3",ack_poison_grayhole,103,39.80582524271845,165.47651219512196,0.975609756097561,300.55998507279884,2.8292682926829267,2,38.175954198473285,"ack_poison_count=61, ack_poison_qrouting_count=61, grayhole_drop_count=45",2.9126213592233015,-219.66861938382542,202.576111062342
QMR,0.5,"1,3",baseline,103,93.20388349514563,47.586135416666664,0.4166666666666667,506.2760502917829,2.5625,13,22.551999999999996,none,0.0,0.0,0.0
QMR,0.5,"1,3",ack_poison,103,92.23300970873787,63.750778947368424,0.42105263157894735,434.78172479294847,2.5473684210526315,40,25.88140797546012,"ack_poison_count=56, ack_poison_qmr_count=56",-0.9708737864077648,16.16464353070176,-71.49432549883443
QMR,0.5,"1,3",grayhole,103,77.66990291262135,24.666275000000002,0.5,700.0565554220792,2.275,0,19.122978260869566,grayhole_drop_count=17,-15.53398058252428,-22.919860416666662,193.78050513029632
QMR,0.5,"1,3",ack_poison_grayhole,103,71.84466019417476,26.91436486486486,0.5405405405405406,658.5396552015195,2.2432432432432434,20,19.421091911764705,"ack_poison_count=48, ack_poison_qmr_count=48, grayhole_drop_count=25",-21.359223300970868,-20.671770551801803,152.2636049097366
