policy,episode,seed,steps,total_reward,generated_tasks,hits,misses,pending_tasks,success_rate,miss_rate,total_energy_used,mean_pending_tasks,max_pending_tasks
edf,5,12,36,-15.556000000000013,62.0,7.0,2.0,53.0,0.7777777777777778,0.2222222222222222,1185.6000000000008,26.27777777777778,54.0
edf,6,13,36,-59.41200000000001,78.0,6.0,3.0,69.0,0.6666666666666666,0.3333333333333333,1207.200000000001,37.69444444444444,69.0
edf,7,14,36,-136.86800000000002,72.0,2.0,7.0,63.0,0.2222222222222222,0.7777777777777778,1360.8000000000009,35.55555555555556,63.0
edf,8,15,36,-29.032,70.0,6.0,1.0,63.0,0.8571428571428571,0.14285714285714285,1195.2000000000007,32.77777777777778,64.0
edf,9,16,36,-49.584,72.0,6.0,3.0,63.0,0.6666666666666666,0.3333333333333333,1214.400000000001,32.916666666666664,63.0
edf,10,17,36,-34.80799999999999,66.0,8.0,4.0,54.0,0.6666666666666666,0.3333333333333333,1108.7999999999997,30.97222222222222,55.0
edf,11,18,36,-72.33200000000001,74.0,4.0,3.0,67.0,0.5714285714285714,0.42857142857142855,1207.2000000000007,34.361111111111114,67.0
edf,12,19,36,-124.27999999999999,61.0,5.0,10.0,46.0,0.3333333333333333,0.6666666666666666,1188.000000000001,30.11111111111111,46.0
edf,13,20,36,-147.608,83.0,3.0,11.0,69.0,0.21428571428571427,0.7857142857142857,1228.8000000000009,41.416666666666664,73.0
edf,14,21,36,-25.76400000000001,71.0,7.0,1.0,63.0,0.875,0.125,1154.400000000001,36.111111111111114,63.0
edf,15,22,36,-113.54000000000002,81.0,5.0,8.0,68.0,0.38461538461538464,0.6153846153846154,1140.0000000000018,39.861111111111114,68.0
edf,16,23,36,-24.87600000000002,78.0,6.0,0.0,72.0,1.0,0.0,1185.6000000000015,35.77777777777778,72.0
edf,17,24,36,40.96400000000002,73.0,11.0,0.0,62.0,1.0,0.0,1017.6000000000004,28.944444444444443,62.0
edf,18,25,36,-135.716,76.0,3.0,8.0,65.0,0.2727272727272727,0.7272727272727273,1233.6000000000004,35.72222222222222,65.0
edf,19,26,36,-163.908,87.0,4.0,10.0,73.0,0.2857142857142857,0.7142857142857143,1264.8000000000006,44.166666666666664,73.0
slo-risk,0,7,36,-133.784,76.0,4.0,9.0,63.0,0.3076923076923077,0.6923076923076923,1250.4000000000012,34.72222222222222,63.0
slo-risk,1,8,36,-47.87200000000002,65.0,5.0,3.0,57.0,0.625,0.375,1219.2000000000014,27.27777777777778,57.0
slo-risk,2,9,36,-210.51600000000002,99.0,2.0,12.0,85.0,0.14285714285714285,0.8571428571428571,1353.6000000000015,51.75,86.0
slo-risk,3,10,36,-145.39200000000002,80.0,3.0,10.0,67.0,0.23076923076923078,0.7692307692307693,1231.2,35.638888888888886,67.0
slo-risk,4,11,36,-110.376,66.0,2.0,7.0,57.0,0.2222222222222222,0.7777777777777778,1305.6000000000006,32.611111111111114,57.0
slo-risk,5,12,36,15.511999999999997,62.0,9.0,1.0,52.0,0.9,0.1,1120.8000000000002,26.055555555555557,53.0
slo-risk,6,13,36,-122.796,78.0,3.0,6.0,69.0,0.3333333333333333,0.6666666666666666,1293.6000000000006,38.861111111111114,69.0
slo-risk,7,14,36,-126.86800000000004,72.0,2.0,7.0,63.0,0.2222222222222222,0.7777777777777778,1360.8000000000009,35.55555555555556,63.0
slo-risk,8,15,36,-80.91599999999997,70.0,3.0,3.0,64.0,0.5,0.5,1233.5999999999997,33.5,64.0
slo-risk,9,16,36,-18.468000000000004,72.0,8.0,2.0,62.0,0.8,0.2,1168.7999999999997,32.583333333333336,62.0
slo-risk,10,17,36,-109.48799999999999,66.0,3.0,7.0,56.0,0.3,0.7,1240.8,32.583333333333336,58.0
slo-risk,11,18,36,-62.272000000000006,74.0,5.0,3.0,66.0,0.625,0.375,1207.200000000001,34.30555555555556,66.0
slo-risk,12,19,36,-135.04799999999997,61.0,4.0,11.0,46.0,0.26666666666666666,0.7333333333333333,1204.8000000000006,30.38888888888889,47.0
slo-risk,13,20,36,-127.76400000000001,83.0,4.0,10.0,69.0,0.2857142857142857,0.7142857142857143,1238.400000000001,41.44444444444444,72.0
slo-risk,14,21,36,-36.00400000000002,71.0,6.0,1.0,64.0,0.8571428571428571,0.14285714285714285,1166.400000000001,36.19444444444444,64.0
slo-risk,15,22,36,-176.708,81.0,2.0,11.0,68.0,0.15384615384615385,0.8461538461538461,1312.8000000000013,40.52777777777778,68.0
slo-risk,16,23,36,-23.97600000000001,78.0,7.0,1.0,70.0,0.875,0.125,1137.600000000001,35.52777777777778,70.0
slo-risk,17,24,36,30.72400000000001,73.0,10.0,0.0,63.0,1.0,0.0,1029.6000000000006,29.02777777777778,63.0
slo-risk,18,25,36,-135.716,76.0,3.0,8.0,65.0,0.2727272727272727,0.7272727272727273,1233.6000000000004,35.72222222222222,65.0
slo-risk,19,26,36,-184.784,87.0,3.0,11.0,73.0,0.21428571428571427,0.7857142857142857,1298.4000000000015,44.416666666666664,73.0
