iteration,episode_reward_mean,episode_reward_min,episode_reward_max,episode_len_mean,num_episodes,num_env_steps_sampled_lifetime,timesteps_total,training_iteration,time_total_s
0,14.591999999999997,-4.832,26.64,11.0,6,66,66,1,0.25757622718811035
1,14.258666666666665,-4.832,26.64,11.0,6,132,132,2,0.46512317657470703
